Group,WeekNum,mean,sem
HS6W,0.0,18.993333333333332,0.41429994502104944
HS6W,1.0,22.439999999999998,0.5079632532641178
HS6W,2.0,24.286666666666665,0.6416575756931758
HS6W,3.0,26.186666666666667,0.8539424909077765
HS6W,4.0,28.60666666666667,0.9942993066029527
HS6W,5.0,24.151666666666667,0.9759044238266599
HS6W,6.0,24.05333333333333,0.8383899914584964
HS6W,7.0,24.483333333333334,0.974876630371476
HS6W,8.0,25.03,1.0556483000191557
HS6W,9.0,25.30666666666667,1.0066931563843622
HS6W,10.0,25.746666666666666,0.8747825126535415
HS6W,11.0,25.833333333333332,0.946990554921806
HS6W,12.0,25.993333333333336,0.8867568876404505
Sham,0.0,19.78,0.3565015193983516
Sham,1.0,21.41,0.253442958736938
Sham,2.0,23.61,0.32736320298204913
Sham,3.0,24.46666666666667,0.22197096907278474
Sham,4.0,25.25,0.24542480178933304
Sham,5.0,26.08,0.29120439557122046
Sham,6.0,26.66333333333333,0.28101799072499123
Sham,7.0,27.27,0.4069971334870386
Sham,8.0,27.27,0.33012118986820604
Sham,9.0,27.766666666666666,0.2666666666666667
Sham,10.0,28.186666666666667,0.24709872071254757
Sham,11.0,28.366666666666664,0.5815305475878093
Sham,12.0,28.613333333333333,0.623146139449737
Sham,13.0,28.52,0.6843975452907466
Sham,14.0,28.820000000000004,0.28589042189855357
Sham,15.0,29.326666666666668,0.21858128414340097
Sham,16.0,29.167333333333332,0.5304844745869371
